SequenceID	Annotation	Length	BlastEvalue
seq_1	U2-L213	25	8.23e-09
seq_1	U2-L207	25	8.23e-09
seq_1	U2-L199	25	8.23e-09
seq_1	U2-L178	25	8.23e-09
seq_1	U2-L170	25	8.23e-09
seq_1	U2-L154	25	8.23e-09
seq_1	U2-L150	25	8.23e-09
seq_1	U2-L138	25	8.23e-09
seq_1	U2-L130	25	8.23e-09
seq_1	U2-L118	25	8.23e-09
seq_1	U2-L82	25	8.23e-09
seq_1	U2-L65	25	8.23e-09
seq_1	U2-L54	25	8.23e-09
seq_1	U2-L52	25	8.23e-09
seq_1	U2-L36	25	8.23e-09
seq_1	U2-L32	25	8.23e-09
seq_1	U2-L22	25	8.23e-09
seq_1	U2-L13	25	8.23e-09
seq_1	U2-L7	25	8.23e-09
seq_8	U1-L9	25	8.23e-09
seq_8	U1-L6	25	8.23e-09
seq_11	chr1.tRNA68-GlyGCC-tRF5	25	8.23e-09
seq_13	chr6.tRNA171-MetCAT-tRF3	25	8.23e-09
seq_18	U6-L28	25	8.23e-09
seq_21	chr15.tRNA9-HisGTG-tRF5	25	8.23e-09
seq_22	U2-L696	25	8.23e-09
seq_32	hsa-mir-4512	25	8.23e-09
seq_35	hsa-mir-4308	25	8.23e-09
seq_38	U6-L28	25	8.23e-09
seq_40	U6-L1581	25	8.23e-09
seq_43	U3-L3	25	8.23e-09
seq_45	U2-L300	25	8.23e-09
seq_46	U2-L368	25	8.23e-09
seq_47	U2-L479	25	8.23e-09
seq_49	hsa-mir-3064	25	8.23e-09
seq_51	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_52	U6-L889	25	8.23e-09
seq_55	U6-L1466	25	8.23e-09
seq_56	U3-L3	25	8.23e-09
seq_57	HY1-L230	25	8.23e-09
seq_59	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_65	U2-L548	25	8.23e-09
seq_67	U81	25	8.23e-09
seq_72	chr17.tRNA38-AspGTC-tRF3	25	8.23e-09
seq_77	HBII-85-24	25	8.23e-09
seq_77	HBII-85-22	25	8.23e-09
seq_77	HBII-85-21	25	8.23e-09
seq_77	HBII-85-19	25	8.23e-09
seq_77	HBII-85-18	25	8.23e-09
seq_77	HBII-85-17	25	8.23e-09
seq_77	HBII-85-16	25	8.23e-09
seq_77	HBII-85-15	25	8.23e-09
seq_77	HBII-85-14	25	8.23e-09
seq_81	U2-L300	25	8.23e-09
seq_84	chr1.tRNA43-GlyGCC-tRF3	25	8.23e-09
seq_84	chr1.tRNA41-GlyGCC-tRF3	25	8.23e-09
seq_84	chr1.tRNA39-GlyGCC-tRF3	25	8.23e-09
seq_84	chr1.tRNA37-GlyGCC-tRF3	25	8.23e-09
seq_84	chr1.tRNA35-GlyGCC-tRF3	25	8.23e-09
seq_85	U2-L1023	25	8.23e-09
seq_85	U2-L1022	25	8.23e-09
seq_85	U2-L1020	25	8.23e-09
seq_85	U2-L967	25	8.23e-09
seq_85	U2-L914	25	8.23e-09
seq_85	U2-L795	25	8.23e-09
seq_85	U2-L726	25	8.23e-09
seq_85	U2-L708	25	8.23e-09
seq_85	U2-L680	25	8.23e-09
seq_85	U2-L522	25	8.23e-09
seq_85	U2-L476	25	8.23e-09
seq_85	U2-L454	25	8.23e-09
seq_85	U2-L434	25	8.23e-09
seq_85	U2-L407	25	8.23e-09
seq_85	U2-L289	25	8.23e-09
seq_85	U2-L283	25	8.23e-09
seq_85	U2-L267	25	8.23e-09
seq_85	U2-L262	25	8.23e-09
seq_85	U2-L233	25	8.23e-09
seq_85	U2-L220	25	8.23e-09
seq_85	U2-L191	25	8.23e-09
seq_85	U2-L181	25	8.23e-09
seq_85	U2-L145	25	8.23e-09
seq_85	U2-L135	25	8.23e-09
seq_85	U2-L128	25	8.23e-09
seq_85	U2-L112	25	8.23e-09
seq_91	LSU-rRNA_Hsa-L147	25	8.23e-09
seq_93	U70F	25	8.23e-09
seq_93	U70G	25	8.23e-09
seq_98	U13_-L189	25	8.23e-09
seq_98	U13-L72	25	8.23e-09
seq_102	LSU-rRNA_Hsa-L142	25	8.23e-09
seq_105	chr1.tRNA16-HisGTG-tRF3	25	8.23e-09
seq_106	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_107	U2-L300	25	8.23e-09
seq_108	U2-L548	25	8.23e-09
seq_109	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_110	chr6.tRNA171-MetCAT-tRF3	25	8.23e-09
seq_113	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_117	U6-L1466	25	8.23e-09
seq_118	chr6.tRNA62-SerGCT-tRF3	25	8.23e-09
seq_119	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_121	hsa-mir-663a	25	8.23e-09
seq_121	hsa-mir-663b	25	8.23e-09
seq_125	U1-L9	25	8.23e-09
seq_125	U1-L6	25	8.23e-09
seq_132	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_136	U4-L128	25	8.23e-09
seq_137	U13_-L107	25	8.23e-09
seq_140	U4-L74	25	8.23e-09
seq_140	U4-L2	25	8.23e-09
seq_142	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_142	SSU-rRNA_Hsa-L73	25	8.23e-09
seq_142	SSU-rRNA_Hsa-L72	25	8.23e-09
seq_143	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_149	chr1.tRNA88-PseudoCCT-tRF5	25	8.23e-09
seq_149	chr1.tRNA96-PseudoCCT-tRF5	25	8.23e-09
seq_151	U2-L975	25	8.23e-09
seq_153	U6-L1235	25	8.23e-09
seq_153	U6-L328	25	8.23e-09
seq_153	U6-L258	25	8.23e-09
seq_153	U6-L124	25	8.23e-09
seq_154	hsa-mir-567	25	8.23e-09
seq_158	chr1.tRNA68-GlyGCC-tRF5	25	8.23e-09
seq_161	U2-L368	25	8.23e-09
seq_163	chr1.tRNA86-ArgTCT-tRF5	25	8.23e-09
seq_166	chr6.tRNA171-MetCAT-tRF3	25	8.23e-09
seq_170	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_176	chr6.tRNA65-AlaAGC-tRF5	25	8.23e-09
seq_180	chr1.tRNA88-PseudoCCT-tRF5	25	8.23e-09
seq_180	chr1.tRNA96-PseudoCCT-tRF5	25	8.23e-09
seq_181	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_188	chr1.tRNA88-PseudoCCT-tRF5	25	8.23e-09
seq_188	chr1.tRNA96-PseudoCCT-tRF5	25	8.23e-09
seq_196	hsa-mir-3131	25	8.23e-09
seq_197	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_198	SSU-rRNA_Hsa-L80	25	8.23e-09
seq_198	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_198	SSU-rRNA_Hsa-L73	25	8.23e-09
seq_198	SSU-rRNA_Hsa-L72	25	8.23e-09
seq_198	SSU-rRNA_Hsa-L24	25	8.23e-09
seq_198	SSU-rRNA_Hsa-L10	25	8.23e-09
seq_199	chr6.tRNA171-MetCAT-tRF3	25	8.23e-09
seq_200	U6-L1341	25	8.23e-09
seq_200	U6-L889	25	8.23e-09
seq_207	chr1.tRNA16-HisGTG-tRF3	25	8.23e-09
seq_210	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_214	hsa-mir-601	25	8.23e-09
seq_220	chr17.tRNA38-AspGTC-tRF3	25	8.23e-09
seq_224	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_227	U6-L1613	25	8.23e-09
seq_227	U6-L1590	25	8.23e-09
seq_227	U6-L1533	25	8.23e-09
seq_227	U6-L1437	25	8.23e-09
seq_227	U6-L1418	25	8.23e-09
seq_227	U6-L1404	25	8.23e-09
seq_227	U6-L1356	25	8.23e-09
seq_227	U6-L1248	25	8.23e-09
seq_227	U6-L1190	25	8.23e-09
seq_227	U6-L1112	25	8.23e-09
seq_227	U6-L859	25	8.23e-09
seq_227	U6-L803	25	8.23e-09
seq_227	U6-L569	25	8.23e-09
seq_227	U6-L438	25	8.23e-09
seq_227	U6-L411	25	8.23e-09
seq_227	U6-L186	25	8.23e-09
seq_229	LSU-rRNA_Hsa-L142	25	8.23e-09
seq_244	HY1-L377	25	8.23e-09
seq_246	HY1	25	8.23e-09
seq_250	hsa-mir-601	25	8.23e-09
seq_252	chr1.tRNA43-GlyGCC-tRF3	25	8.23e-09
seq_252	chr1.tRNA41-GlyGCC-tRF3	25	8.23e-09
seq_252	chr1.tRNA39-GlyGCC-tRF3	25	8.23e-09
seq_252	chr1.tRNA37-GlyGCC-tRF3	25	8.23e-09
seq_252	chr1.tRNA35-GlyGCC-tRF3	25	8.23e-09
seq_256	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_260	U1-L195	25	8.23e-09
seq_260	U1-L84	25	8.23e-09
seq_260	U1-L71	25	8.23e-09
seq_260	U1-L70	25	8.23e-09
seq_260	U1-L63	25	8.23e-09
seq_260	U1-L45	25	8.23e-09
seq_260	U1-L33	25	8.23e-09
seq_260	U1-L29	25	8.23e-09
seq_260	U1-L24	25	8.23e-09
seq_260	U1-L14	25	8.23e-09
seq_260	U1-L11	25	8.23e-09
seq_260	U1-L8	25	8.23e-09
seq_260	U1-L7	25	8.23e-09
seq_260	U1-L4	25	8.23e-09
seq_265	U13_-L107	25	8.23e-09
seq_275	U2-L548	25	8.23e-09
seq_282	U2-L548	25	8.23e-09
seq_288	chr1.tRNA43-GlyGCC-tRF3	25	8.23e-09
seq_288	chr1.tRNA41-GlyGCC-tRF3	25	8.23e-09
seq_288	chr1.tRNA39-GlyGCC-tRF3	25	8.23e-09
seq_288	chr1.tRNA37-GlyGCC-tRF3	25	8.23e-09
seq_288	chr1.tRNA35-GlyGCC-tRF3	25	8.23e-09
seq_291	U5-L144	25	8.23e-09
seq_291	U5-L35	25	8.23e-09
seq_293	U6-L1235	25	8.23e-09
seq_295	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_295	SSU-rRNA_Hsa-L24	25	8.23e-09
seq_296	BC200-L50	25	8.23e-09
seq_297	U6-L1466	25	8.23e-09
seq_301	hsa-mir-518d	25	8.23e-09
seq_314	U13-L70	25	8.23e-09
seq_316	U13-L70	25	8.23e-09
seq_324	BC200-L50	25	8.23e-09
seq_330	U6-L1581	25	8.23e-09
seq_330	U6-L1393	25	8.23e-09
seq_330	U6-L1386	25	8.23e-09
seq_330	U6-L1380	25	8.23e-09
seq_330	U6-L1374	25	8.23e-09
seq_330	U6-L1369	25	8.23e-09
seq_330	U6-L1363	25	8.23e-09
seq_330	U6-L1283	25	8.23e-09
seq_330	U6-L540	25	8.23e-09
seq_330	U6-L350	25	8.23e-09
seq_334	U6-L1581	25	8.23e-09
seq_334	U6-L1550	25	8.23e-09
seq_334	U6-L1184	25	8.23e-09
seq_334	U6-L350	25	8.23e-09
seq_348	U6-L1581	25	8.23e-09
seq_348	U6-L1550	25	8.23e-09
seq_348	U6-L1184	25	8.23e-09
seq_348	U6-L350	25	8.23e-09
seq_355	chr1.tRNA16-HisGTG-tRF3	25	8.23e-09
seq_357	U13_-L251	25	8.23e-09
seq_358	U13-L70	25	8.23e-09
seq_366	hsa-mir-4512	25	8.23e-09
seq_370	U4-L110	25	8.23e-09
seq_371	U1-L84	25	8.23e-09
seq_376	HY1-L230	25	8.23e-09
seq_378	E2	25	8.23e-09
seq_389	U13-L70	25	8.23e-09
seq_392	hsa-mir-3064	25	8.23e-09
seq_397	U81	25	8.23e-09
seq_400	chr1.tRNA68-GlyGCC-tRF5	25	8.23e-09
seq_404	U70F	25	8.23e-09
seq_410	chr1.tRNA88-PseudoCCT-tRF5	25	8.23e-09
seq_410	chr1.tRNA96-PseudoCCT-tRF5	25	8.23e-09
seq_412	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_413	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_420	U81	25	8.23e-09
seq_421	U81	25	8.23e-09
seq_423	U13_-L7	25	8.23e-09
seq_425	U13-L70	25	8.23e-09
seq_426	E2	25	8.23e-09
seq_427	U2-L300	25	8.23e-09
seq_429	LSU-rRNA_Hsa-L254	25	8.23e-09
seq_433	U4-L156	25	8.23e-09
seq_433	U4-L152	25	8.23e-09
seq_433	U4-L146	25	8.23e-09
seq_433	U4-L139	25	8.23e-09
seq_433	U4-L116	25	8.23e-09
seq_433	U4-L102	25	8.23e-09
seq_433	U4-L99	25	8.23e-09
seq_433	U4-L91	25	8.23e-09
seq_433	U4-L81	25	8.23e-09
seq_433	U4-L80	25	8.23e-09
seq_433	U4-L33	25	8.23e-09
seq_433	U4-L12	25	8.23e-09
seq_442	U5-L144	25	8.23e-09
seq_442	U5-L35	25	8.23e-09
seq_443	U3-L50	25	8.23e-09
seq_444	U1-L71	25	8.23e-09
seq_444	U1-L70	25	8.23e-09
seq_444	U1-L47	25	8.23e-09
seq_444	U1-L45	25	8.23e-09
seq_444	U1-L43	25	8.23e-09
seq_444	U1-L38	25	8.23e-09
seq_444	U1-L33	25	8.23e-09
seq_444	U1-L14	25	8.23e-09
seq_444	U1-L11	25	8.23e-09
seq_444	U1-L8	25	8.23e-09
seq_444	U1-L7	25	8.23e-09
seq_444	U1-L4	25	8.23e-09
seq_449	U6-L1054	25	8.23e-09
seq_455	chr1.tRNA88-PseudoCCT-tRF5	25	8.23e-09
seq_455	chr1.tRNA96-PseudoCCT-tRF5	25	8.23e-09
seq_459	hsa-mir-4512	25	8.23e-09
seq_467	chr1.tRNA43-GlyGCC-tRF3	25	8.23e-09
seq_467	chr1.tRNA41-GlyGCC-tRF3	25	8.23e-09
seq_467	chr1.tRNA39-GlyGCC-tRF3	25	8.23e-09
seq_467	chr1.tRNA37-GlyGCC-tRF3	25	8.23e-09
seq_467	chr1.tRNA35-GlyGCC-tRF3	25	8.23e-09
seq_474	U1-L138	25	8.23e-09
seq_474	U1-L71	25	8.23e-09
seq_474	U1-L70	25	8.23e-09
seq_474	U1-L47	25	8.23e-09
seq_474	U1-L45	25	8.23e-09
seq_474	U1-L33	25	8.23e-09
seq_474	U1-L29	25	8.23e-09
seq_474	U1-L24	25	8.23e-09
seq_474	U1-L14	25	8.23e-09
seq_474	U1-L11	25	8.23e-09
seq_474	U1-L8	25	8.23e-09
seq_474	U1-L7	25	8.23e-09
seq_474	U1-L4	25	8.23e-09
seq_489	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_490	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_492	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_502	chr17.tRNA38-AspGTC-tRF3	25	8.23e-09
seq_518	U6-L1235	25	8.23e-09
seq_522	hsa-mir-4512	25	8.23e-09
seq_538	HY1-L377	25	8.23e-09
seq_541	U4-L128	25	8.23e-09
seq_542	hsa-mir-1267	25	8.23e-09
seq_554	U1-L195	25	8.23e-09
seq_554	U1-L145	25	8.23e-09
seq_554	U1-L126	25	8.23e-09
seq_554	U1-L123	25	8.23e-09
seq_554	U1-L75	25	8.23e-09
seq_554	U1-L71	25	8.23e-09
seq_554	U1-L70	25	8.23e-09
seq_554	U1-L55	25	8.23e-09
seq_554	U1-L45	25	8.23e-09
seq_554	U1-L36	25	8.23e-09
seq_554	U1-L29	25	8.23e-09
seq_554	U1-L24	25	8.23e-09
seq_554	U1-L17	25	8.23e-09
seq_554	U1-L11	25	8.23e-09
seq_554	U1-L8	25	8.23e-09
seq_554	U1-L7	25	8.23e-09
seq_554	U1-L4	25	8.23e-09
seq_570	U2-L1023	25	8.23e-09
seq_570	U2-L1022	25	8.23e-09
seq_570	U2-L1020	25	8.23e-09
seq_570	U2-L967	25	8.23e-09
seq_570	U2-L914	25	8.23e-09
seq_570	U2-L795	25	8.23e-09
seq_570	U2-L737	25	8.23e-09
seq_570	U2-L726	25	8.23e-09
seq_570	U2-L680	25	8.23e-09
seq_570	U2-L522	25	8.23e-09
seq_570	U2-L476	25	8.23e-09
seq_570	U2-L434	25	8.23e-09
seq_570	U2-L407	25	8.23e-09
seq_570	U2-L289	25	8.23e-09
seq_570	U2-L283	25	8.23e-09
seq_570	U2-L267	25	8.23e-09
seq_570	U2-L262	25	8.23e-09
seq_570	U2-L233	25	8.23e-09
seq_570	U2-L220	25	8.23e-09
seq_570	U2-L191	25	8.23e-09
seq_570	U2-L181	25	8.23e-09
seq_570	U2-L145	25	8.23e-09
seq_570	U2-L135	25	8.23e-09
seq_570	U2-L128	25	8.23e-09
seq_570	U2-L112	25	8.23e-09
seq_572	U3-L3	25	8.23e-09
seq_574	chr6.tRNA65-AlaAGC-tRF5	25	8.23e-09
seq_583	HY3-L165	25	8.23e-09
seq_608	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_616	hsa-mir-3131	25	8.23e-09
seq_620	U4-L74	25	8.23e-09
seq_620	U4-L2	25	8.23e-09
seq_621	chr17.tRNA38-AspGTC-tRF3	25	8.23e-09
seq_627	hsa-mir-509-1	25	8.23e-09
seq_627	hsa-mir-509-3	25	8.23e-09
seq_627	hsa-mir-509-2	25	8.23e-09
seq_630	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_632	U3-L3	25	8.23e-09
seq_637	hsa-mir-4512	25	8.23e-09
seq_638	U2-L1023	25	8.23e-09
seq_638	U2-L1022	25	8.23e-09
seq_638	U2-L1020	25	8.23e-09
seq_638	U2-L967	25	8.23e-09
seq_638	U2-L914	25	8.23e-09
seq_638	U2-L891	25	8.23e-09
seq_638	U2-L795	25	8.23e-09
seq_638	U2-L726	25	8.23e-09
seq_638	U2-L708	25	8.23e-09
seq_638	U2-L522	25	8.23e-09
seq_638	U2-L476	25	8.23e-09
seq_638	U2-L454	25	8.23e-09
seq_638	U2-L434	25	8.23e-09
seq_638	U2-L407	25	8.23e-09
seq_638	U2-L283	25	8.23e-09
seq_638	U2-L267	25	8.23e-09
seq_638	U2-L262	25	8.23e-09
seq_638	U2-L233	25	8.23e-09
seq_638	U2-L220	25	8.23e-09
seq_638	U2-L191	25	8.23e-09
seq_638	U2-L181	25	8.23e-09
seq_638	U2-L135	25	8.23e-09
seq_638	U2-L128	25	8.23e-09
seq_638	U2-L112	25	8.23e-09
seq_638	U2-L74	25	8.23e-09
seq_645	U2-L368	25	8.23e-09
seq_654	U6-L1466	25	8.23e-09
seq_655	hsa-mir-4737	25	8.23e-09
seq_661	U13_-L107	25	8.23e-09
seq_662	U6-L1650	25	8.23e-09
seq_662	U6-L1318	25	8.23e-09
seq_670	U6-L28	25	8.23e-09
seq_674	LSU-rRNA_Hsa-L254	25	8.23e-09
seq_686	hsa-mir-4737	25	8.23e-09
seq_692	U81	25	8.23e-09
seq_696	U81	25	8.23e-09
seq_699	HY3-L165	25	8.23e-09
seq_707	chr1.tRNA16-HisGTG-tRF3	25	8.23e-09
seq_712	chr1.tRNA86-ArgTCT-tRF5	25	8.23e-09
seq_719	U6-L1466	25	8.23e-09
seq_724	chr14.tRNA16-TyrGTA-tRF5	25	8.23e-09
seq_725	hsa-mir-6133	25	8.23e-09
seq_728	chr6.tRNA119-AlaCGC	25	8.23e-09
seq_728	chr5.tRNA8-AlaTGC	25	8.23e-09
seq_728	chr12.tRNA13-AlaTGC	25	8.23e-09
seq_744	U4-L74	25	8.23e-09
seq_744	U4-L2	25	8.23e-09
seq_765	U6-L1466	25	8.23e-09
seq_773	hsa-mir-3131	25	8.23e-09
seq_778	chr1.tRNA86-ArgTCT-tRF5	25	8.23e-09
seq_782	hsa-mir-663a	25	8.23e-09
seq_783	HY3-L165	25	8.23e-09
seq_789	U4-L74	25	8.23e-09
seq_789	U4-L2	25	8.23e-09
seq_800	SSU-rRNA_Hsa-L74	25	8.23e-09
seq_820	U2-L443	25	8.23e-09
seq_820	U2-L37	25	8.23e-09
seq_833	chr14.tRNA15-PseudoTAG	25	8.23e-09
seq_839	U6-L744	25	8.23e-09
seq_839	U6-L467	25	8.23e-09
seq_849	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_860	U2-L696	25	8.23e-09
seq_866	chr1.tRNA86-ArgTCT-tRF5	25	8.23e-09
seq_867	HY1-L377	25	8.23e-09
seq_868	hsa-mir-4308	25	8.23e-09
seq_870	U2-L479	25	8.23e-09
seq_880	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_887	hsa-mir-518d	25	8.23e-09
seq_887	hsa-mir-526a-2	25	8.23e-09
seq_887	hsa-mir-526a-1	25	8.23e-09
seq_887	hsa-mir-518f	25	8.23e-09
seq_891	U3-L3	25	8.23e-09
seq_898	U4-L74	25	8.23e-09
seq_898	U4-L2	25	8.23e-09
seq_900	hsa-mir-3131	25	8.23e-09
seq_902	U70F	25	8.23e-09
seq_929	hsa-mir-4417	25	8.23e-09
seq_931	LSU-rRNA_Hsa-L147	25	8.23e-09
seq_938	U6-L28	25	8.23e-09
seq_948	chr1.tRNA16-HisGTG-tRF3	25	8.23e-09
seq_952	U2-L300	25	8.23e-09
seq_953	U1-L84	25	8.23e-09
seq_953	U1-L43	25	8.23e-09
seq_958	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_961	hsa-mir-4512	25	8.23e-09
seq_966	E2	25	8.23e-09
seq_978	U1-L9	25	8.23e-09
seq_978	U1-L6	25	8.23e-09
seq_981	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_1003	U1-L9	25	8.23e-09
seq_1003	U1-L6	25	8.23e-09
seq_1010	hsa-mir-571	25	8.23e-09
seq_1011	chr17.tRNA38-AspGTC-tRF3	25	8.23e-09
seq_1026	U3-L76	25	8.23e-09
seq_1026	U3-4	25	8.23e-09
seq_1027	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_1029	HY1-L333	25	8.23e-09
seq_1037	LSU-rRNA_Hsa-L62	25	8.23e-09
seq_1053	chr6.tRNA102-AlaAGC-tRF3	25	8.23e-09
seq_1054	U2-L696	25	8.23e-09
seq_1057	U6-L1581	25	8.23e-09
seq_1059	U2-L40	25	8.23e-09
seq_1059	U2-L15	25	8.23e-09
seq_1060	U1-L9	25	8.23e-09
seq_1060	U1-L6	25	8.23e-09
seq_1063	U3-L3	25	8.23e-09
seq_1066	U13_-L7	25	8.23e-09
seq_1071	U5	25	8.23e-09
seq_1072	U4-L128	25	8.23e-09
seq_1076	U2-L1023	25	8.23e-09
seq_1076	U2-L1022	25	8.23e-09
seq_1076	U2-L1020	25	8.23e-09
seq_1076	U2-L967	25	8.23e-09
seq_1076	U2-L914	25	8.23e-09
seq_1076	U2-L795	25	8.23e-09
seq_1076	U2-L726	25	8.23e-09
seq_1076	U2-L708	25	8.23e-09
seq_1076	U2-L680	25	8.23e-09
seq_1076	U2-L522	25	8.23e-09
seq_1076	U2-L476	25	8.23e-09
seq_1076	U2-L454	25	8.23e-09
seq_1076	U2-L434	25	8.23e-09
seq_1076	U2-L407	25	8.23e-09
seq_1076	U2-L289	25	8.23e-09
seq_1076	U2-L283	25	8.23e-09
seq_1076	U2-L267	25	8.23e-09
seq_1076	U2-L262	25	8.23e-09
seq_1076	U2-L233	25	8.23e-09
seq_1076	U2-L220	25	8.23e-09
seq_1076	U2-L191	25	8.23e-09
seq_1076	U2-L181	25	8.23e-09
seq_1076	U2-L145	25	8.23e-09
seq_1076	U2-L135	25	8.23e-09
seq_1076	U2-L128	25	8.23e-09
seq_1076	U2-L112	25	8.23e-09
seq_1076	U2-L74	25	8.23e-09
seq_1087	U1-L84	25	8.23e-09
seq_1094	U1-L84	25	8.23e-09
seq_1115	U2-L548	25	8.23e-09
seq_1117	hsa-mir-6133	25	8.23e-09
seq_1125	U2-L696	25	8.23e-09
seq_1134	U2-L368	25	8.23e-09
seq_1158	chr1.tRNA16-HisGTG-tRF3	25	8.23e-09
seq_1160	chr1.tRNA88-PseudoCCT-tRF5	25	8.23e-09
seq_1160	chr1.tRNA96-PseudoCCT-tRF5	25	8.23e-09
seq_1169	U2-L696	25	8.23e-09
seq_1173	HY3-L165	25	8.23e-09
seq_1184	U13-L70	25	8.23e-09
seq_1186	chr16.tRNA19-GlyGCC-tRF5	25	8.23e-09
seq_1205	U2-L548	25	8.23e-09
seq_1225	HY3-L165	25	8.23e-09
seq_1228	U1-L195	25	8.23e-09
seq_1228	U1-L114	25	8.23e-09
seq_1228	U1-L84	25	8.23e-09
seq_1228	U1-L71	25	8.23e-09
seq_1228	U1-L70	25	8.23e-09
seq_1228	U1-L63	25	8.23e-09
seq_1228	U1-L45	25	8.23e-09
seq_1228	U1-L33	25	8.23e-09
seq_1228	U1-L29	25	8.23e-09
seq_1228	U1-L24	25	8.23e-09
seq_1228	U1-L14	25	8.23e-09
seq_1228	U1-L11	25	8.23e-09
